institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student 
govindram seksaria institute of management and research,master of business administration,"CAT, MAT, XAT",1:NA|4:NA|2:NA,indore,2,India,2 Years,350000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",madhya pradesh,106000
arya institute of engineering technology and management,master of business administration,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,jaipur,2,India,2 Years,350000,"Finance, Marketing, Information Technology, Human Resources",rajasthan,120000
nimt institute of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,jaipur,2,India,2 Years,350000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business",rajasthan,217000
mount carmel institute of management,post graduate diploma in management,"CAT, XAT, MAT",1:NA  | 2:NA  | 4:NA  | ,bangalore,2,India,2 Years,350000,"Finance, Marketing, Human Resources",karnataka,400000
institute of business management and research,master of business administration,"CAT, MAT, XAT, GMAT, PGCET, CMAT, KMAT, ATMA",1:NA|4:NA|2:NA|5:NA|17:NA|3:NA|14:NA|11:NA,hubli,2,India,2 Years,350000,"Finance, Marketing, Information Technology, Human Resources, General Management",karnataka,0
babu banarasi das national institute of technology and management,master of business administration,CAT,1:NA,lucknow,2,India,2 Years,350000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,208000
b.n. college of engineering and technology,master of business administration,"CAT, MAT, UPSEE",1:NA | 4:NA | 15:NA | ,lucknow,2,India,2 Years,350000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,160000
gla institute of business management,master of business administration,"CAT, MAT, XAT, UPSEE",1:NA|4:NA|2:NA|15:NA,mathura,2,India,2 Years,350000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Business Analytics, International Business, Retail Management",uttar pradesh,303000
durgadevi saraf institute of management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,350000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Media & Communication",maharashtra,850000
neelam college of engineering and technology,master of business administration,"CAT, XAT, CMAT, MAT, UPSEE",1:NA|2:NA|3:NA|4:NA|15:NA,agra,2,India,2 Years,350000,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,110000
administrative management college,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, Others, KMAT, PGCET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 10:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,350000,"Marketing, Human Resources",karnataka,300000
atria school of management and entrepreneurship,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, KMAT, PGCET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,350000,"Finance, Marketing, Human Resources",karnataka,400000
r.v.institute of management,master of business administration,"CAT, CMAT, MAT, ATMA, KMAT, PGCET",1:NA | 3:NA | 4:NA | 11:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,350000,"Finance, Marketing, Information Technology, Human Resources",karnataka,200000
mams marian academy of management studies,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,cochin,2,India,2 Years,350000,"Finance, Marketing, Human Resources",kerala,410000
scms school of technology and management,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,cochin,2,India,2 Years,350000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",kerala,300000
apex institute of management and science college,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jaipur,2,India,2 Years,350000,"Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Digital Media",rajasthan,300000
international school of informatics and management,master of business administration,CAT,1:NA | ,jaipur,2,India,2 Years,350000,"Marketing, Operations \/ SCM \/ Production, Human Resources",rajasthan,136000
sheila raheja school of business management and research,master in management studies,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,350000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,233000
marathwada mitra mandal's college of engineering,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,350000,"Finance, Marketing, Human Resources",maharashtra,166000
sanghvi institute of management and science,post graduate diploma in management,"CAT, XAT, MAT, ATMA, GMAT, Others",1:NA|2:NA|4:NA|11:NA|5:NA|10:NA,indore,2,India,2 Years,348000,"Finance, Marketing, Information Technology, Human Resources",madhya pradesh,0
indian academy school of management studies,master of business administration,"CAT, XAT, MAT, KMAT, PGCET",1:NA | 2:NA | 4:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,345000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,450000
kls gogte institute of technology,master of business administration,"CMAT, KMAT, CAT",3:NA|14:NA|1:NA|17:NA,belgaum,2,India,2 Years,340000,"Finance, Marketing, Human Resources",karnataka,320000
saintgits institute of management,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,kottayam,2,India,2 Years,340000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",kerala,374000
international school of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,patna,2,India,2 Years,340000,"Finance, Marketing, Information Technology, Human Resources",bihar,240000
parul institute of engineering and technology,master of business administration,"CAT, CMAT, MAT, Others",1:NA | 3:NA | 4:NA | 10:NA | ,vadodara,2,India,2 Years,330000,"Finance, Marketing, Information Technology, Human Resources, International Business",gujarat,148000
global business school,master of business administration,"CAT, MAT, XAT, JMET, ATMA, Others, Others",1:NA|4:NA|2:NA|18:NA|11:NA|10:NA|10:NA,hubli,2,India,2 Years,326000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",karnataka,400000
national school of business,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,bangalore,2,India,2 Years,325000,"Finance, Marketing, Human Resources",karnataka,570000
jagannath international management school,post graduate diploma in international business,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,new delhi,2,India,2 Years,325000,"Finance, Marketing, International Business",delhi,675000
nimbus academy of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,dehradun,2,India,2 Years,325000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttarakhand,268000
center for management technology,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,,2,India,2 Years,325000,"Marketing, Information Technology, Human Resources, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,180000
innocent hearts school of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,jalandhar,2,India,2 Years,325000,"Finance, Marketing, Human Resources",punjab,150000
lachoo memorial college of science and technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,jodhpur,2,India,2 Years,325000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",rajasthan,141000
school of management and business studies,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,kottayam,2,India,2 Years,325000,"Finance, Marketing, Information Technology, Human Resources",kerala,280000
shri ramdeobaba college of engineering and management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,nagpur,2,India,2 Years,325000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, International Business, Entrepreneurship & Family Business",maharashtra,237000
tula's institute the engineering and management college,master of business administration,"CAT, MAT",1:NA | 4:NA | ,dehradun,2,India,2 Years,324000,"Finance, Marketing, Human Resources, International Business",uttarakhand,144000
suresh gyan vihar school of engineering and technology,master of business administration,"CAT, MAT, Others",1:NA | 4:NA | 10:NA | ,jaipur,2,India,2 Years,321000,"Finance, Marketing, Human Resources",rajasthan,200000
school of business shobhit university,master of business administration,"CAT, XAT, MAT, Others",1:NA  | 2:NA  | 4:NA  | 10:NA  | ,meerut,2,India,2 Years,320000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Entrepreneurship & Family Business",uttar pradesh,160000
ahalia school of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA, KMAT",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | 14:NA | ,palakkad,2,India,2 Years,320000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, International Business",kerala,260000
jecrc university school of management,master of business administration,"CAT, XAT, MAT",1:NA | 2:NA | 4:NA | ,jaipur,2,India,2 Years,320000,"Finance, Marketing, Human Resources",rajasthan,250000
hierank business school,master of business administration,"CAT, CMAT, MAT, ATMA, UPSEE",1:NA | 3:NA | 4:NA | 11:NA | 15:NA | ,,2,India,2 Years,320000,"Finance, Marketing, Information Technology, Human Resources, International Business, Retail Management",uttar pradesh,310000
hmr institute of technology and management,master of business administration,"CAT, Others",1:NA | 10:NA | ,new delhi,2,India,2 Years,320000,"Finance, Marketing, Human Resources",delhi,208000
bse institute limited,post graduate program in global financial markets,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, NMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 8:NA | 11:NA | ,mumbai,2,India,2 Years,320000,Finance,maharashtra,560000
matrix school of management studies,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,320000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,158000
nilaai institutions of management,master of business administration,"CAT, XAT, CMAT, Others",1:NA | 2:NA | 3:NA | 10:NA | ,ranchi,2,India,2 Years,320000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Sustainability \/ Environment",jharkhand,131000
apollo institute of technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,kanpur,2,India,2 Years,310000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,200000
guru jambheshwar university of science and technology,master of business administration,CAT,1:NA | ,hissar,2,India,2 Years,310000,"Finance, Marketing, Human Resources, International Business",haryana,122000
dr. gaur hari singhania institute of management and research,post graduate diploma in management,"CAT, CMAT, MAT, ATMA",1:NA | 3:NA | 4:NA | 11:NA | ,kanpur,2,India,2 Years,309000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business, Entrepreneurship & Family Business",uttar pradesh,630000
royal school of business,master of business administration,"CAT, MAT, XAT, CMAT, GMAT",1:NA|4:NA|2:NA|3:NA|5:NA,guwahati,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Entrepreneurship & Family Business",assam,392000
sri sri university,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,cuttack,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Agri \/ Food \/ Rural Business, Entrepreneurship & Family Business",orissa,660000
b.n.m institute of technology,master of business administration,"CAT, XAT, CMAT, MAT, KMAT, PGCET",1:NA | 2:NA | 3:NA | 4:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,300000,"Finance, Marketing, Human Resources",karnataka,106000
centurion university of technology and management,master of business administration,"MAT, CMAT, KMAT, CAT, XAT",4:NA|3:NA|14:NA|1:NA|2 :NA,bhubaneshwar,2,India,2 Years,300000,"Finance, Marketing, Human Resources",orissa,300000
rakshpal bahadur management institute,master of business administration,"CAT, MAT",1:NA | 4:NA | ,,2,India,2 Years,300000,"Marketing, Information Technology, Human Resources, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business",uttar pradesh,180000
sadanam institute of commerce and management studies,post graduate diploma in management,"CAT, MAT",1:NA | 4:NA | ,palakkad,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, Retail Management",kerala,220000
rajarshi shahu institute of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | 18:NA | ,aurangabad,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,90000
the oxford college of business management,master of business administration,"CAT, CMAT, MAT, KMAT, PGCET",1:NA | 3:NA | 4:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,300000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,400000
indo asian academy management studies,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 11:NA  | ,bangalore,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, International Business",karnataka,350000
guru gram business school,master of business administration,"CAT, XAT, MAT",1:NA | 2:NA | 4:NA | ,gurgaon,2,India,2 Years,300000,"Marketing, Information Technology, Human Resources, International Business, Retail Management",haryana,240000
khandelwal college of management science and technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 11:NA  | ,bareilly,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,146000
apeejay institute of technology school of management,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA, UPSEE",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | 15:NA | ,,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,296000
aligarh college of engineering and technology,master of business administration,"CAT, MAT, UPSEE",1:NA | 4:NA | 15:NA | ,aligarh,2,India,2 Years,300000,"Finance, Marketing, Human Resources",uttar pradesh,190000
department of management science,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,aurangabad,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",maharashtra,120000
btl institute of technology and management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,300000,"Finance, Marketing, Human Resources",karnataka,142000
don bosco institute of management studies and computer applications,master of business administration,"CAT, XAT, MAT, KMAT, PGCET",1:NA | 2:NA | 4:NA | 14:NA | 17:NA | ,bangalore,2,India,2 Years,300000,General Management,karnataka,450000
rjs institute of management studies,master of business administration,"KMAT, CMAT, MAT, CAT",14:NA|3:NA|4:NA|1:NA,bangalore,2,India,2 Years,300000,"Finance, Marketing, Human Resources",karnataka,210000
sjes college of management studies,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,bangalore,2,India,2 Years,300000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma, Entrepreneurship & Family Business",karnataka,396000
fisat business school,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,cochin,2,India,2 Years,300000,"Finance, Marketing, Human Resources",kerala,432000
shri guru ram rai institute of technology and science,master of business administration,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,dehradun,2,India,2 Years,300000,"Finance, Marketing, Human Resources",uttarakhand,182000
,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,,2,India,2 Years,300000,"Finance, Marketing, Human Resources",uttar pradesh,500000
patronage institute of management studies,master of business administration,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,190000
chandra mauli institute of management sciences and technology,master of business administration,"MAT, CMAT, ATMA, CAT, XAT",4:NA|3:NA|11:NA|1:NA|2:NA,gorakhpur,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources",uttar pradesh,110000
rajasthan institute of engineering and technology,master of business administration,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,jaipur,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources",rajasthan,121000
mangalam management studies,master of business administration,"CAT, XAT, CMAT, GMAT, KMAT",1:NA | 2:NA | 3:NA | 5:NA | 14:NA | ,kottayam,2,India,2 Years,300000,"Finance, Marketing, Human Resources",kerala,270000
ar institute of management and technology,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,meerut,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,183000
aruna manharlal shah institute of management and research,master in management studies,"CAT, MAT, MH-CET, ATMA",1:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,256000
gnvs institute of management,master in management studies,"CAT, XAT, CMAT, MAT, Others, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 10:NA | 11:NA | ,mumbai,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,2300000
sir. m. visvesvaraya institute of management studies and research,post graduate diploma in management,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,mumbai,2,India,2 Years,300000,"Finance, Marketing",maharashtra,264000
rajiv gandhi business school,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | ,pune,2,India,2 Years,300000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Entrepreneurship & Family Business",maharashtra,300000
navsahyadri group of institutes,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,300000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Media & Communication, Digital Media, Entrepreneurship & Family Business",maharashtra,140000
pratibha institute of business management,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | 18:NA | ,pune,2,India,2 Years,300000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Healthcare \/ Hospital \/ Pharma, Hospitality \/ Tourism, Agri \/ Food \/ Rural Business, International Business, Retail Management, Entrepreneurship & Family Business",maharashtra,175000
s. b. patil institute of management,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,pune,2,India,2 Years,300000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Agri \/ Food \/ Rural Business, International Business, Entrepreneurship & Family Business",maharashtra,158000
sai balaji international institute of management sciences,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, Others, ATMA",1:NA  | 2:NA  | 3:NA  | 4:NA  | 5:NA  | 10:NA  | 11:NA  | ,pune,2,India,2 Years,300000,"Finance, Marketing, Information Technology, Human Resources",maharashtra,600000
prince institute of innovative technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,,2,India,2 Years,295000,"Marketing, Information Technology, Human Resources, International Business",uttar pradesh,120000
college of business management economics and commerce mody university,master of business administration,"CAT, MAT, NMAT, CMAT, XAT, Others",1:NA|4:NA|8:NA|3:NA|2:NA|10:NA,sikar,2,India,2 Years,293000,"Finance, Marketing, Human Resources, Business Analytics, International Business",rajasthan,238000
shiva institute of management studies,post graduate diploma in management,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,ghaziabad,2,India,2 Years,290000,"Finance, Marketing, Information Technology, Human Resources, Retail Management",uttar pradesh,325000
beehive college of management and technology,master of business administration,"CAT, XAT, MAT, ATMA",1:NA | 2:NA | 4:NA | 11:NA | ,dehradun,2,India,2 Years,290000,"Finance, Marketing, Human Resources",uttarakhand,161000
ar institute of management and technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA, UPSEE",1:NA  | 2:NA  | 3:NA  | 4:NA  | 11:NA  | 15:NA  | ,meerut,2,India,2 Years,290000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,94000
aima centre for management education,post graduate diploma in management,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,new delhi,2,India,2 Years,280000,"Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",delhi,126000
jagan institute of management studies,post graduate diploma in management,"CAT, CMAT, MAT",1:NA | 3:NA | 4:NA | ,jaipur,2,India,2 Years,280000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Entrepreneurship & Family Business",rajasthan,550000
college of engineering rural technology,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,meerut,2,India,2 Years,280000,"Marketing, Information Technology, Human Resources, International Business",uttar pradesh,127000
international centre of excellence in engineering and management,master of business administration,"CAT, MH-CET",1:NA | 7:NA | ,aurangabad,2,India,2 Years,280000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",maharashtra,128000
,master of business administration,"CAT, XAT, CMAT, MAT, GMAT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | ,,2,India,2 Years,280000,"Finance, Marketing, Human Resources",uttar pradesh,150000
sarvottam institute of technology and management,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,,2,India,2 Years,280000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, International Business",uttar pradesh,171000
dayalbagh educational institutedepartment of management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,agra,2,India,2 Years,275000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources, General Management",uttar pradesh,130000
city college,master of business administration,"CAT, CMAT, MAT, KMAT",1:NA | 3:NA | 4:NA | 14:NA | ,bangalore,2,India,2 Years,275000,"Finance, Marketing, Human Resources, Healthcare \/ Hospital \/ Pharma",karnataka,300000
toc h institute of science and technology,master of business administration,"CAT, CMAT, KMAT",1:NA | 3:NA | 14:NA | ,cochin,2,India,2 Years,275000,"Finance, Marketing, Operations \/ SCM \/ Production, Human Resources",kerala,200000
al barkaat institute of management studies,master of business administration,"CAT, CMAT, MAT, UPSEE",1:NA | 3:NA | 4:NA | 15:NA | ,aligarh,2,India,2 Years,270000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,160000
bm college of technology and management,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,gurgaon,2,India,2 Years,260000,"Finance, Marketing, Information Technology, Human Resources, International Business",haryana,150000
,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, ATMA, PGCET, IIFT",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 11:NA | 17:NA | 20:NA | ,bangalore,2,India,2 Years,260000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",karnataka,300000
institute of cooperative management,master of business administration,"CAT, XAT, CMAT, MAT",1:NA | 2:NA | 3:NA | 4:NA | ,dehradun,2,India,2 Years,260000,"Finance, Marketing, Human Resources, Agri \/ Food \/ Rural Business",uttarakhand,105000
tirpude institute of management education,master of business administration,"CAT, XAT, CMAT, MAT, GMAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 5:NA | 7:NA | 11:NA | ,nagpur,2,India,2 Years,260000,"Finance, Marketing, Human Resources",maharashtra,226000
tulsiramji gaikwad patil college of engineering and technology,master of business administration,"CAT, CMAT, MAT, GMAT, Others, JMET",1:NA | 3:NA | 4:NA | 5:NA | 10:NA | 18:NA | ,nagpur,2,India,2 Years,260000,"Finance, Marketing, Human Resources",maharashtra,172000
sinhgad institute of business administration and research,master of business administration,"CAT, XAT, CMAT, MAT, MH-CET, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | ,pune,2,India,2 Years,250000,"Finance, Marketing, Human Resources",maharashtra,284000
institute of management studies ranchi university ,master of business administration,"CAT, XAT, CMAT, MAT, ATMA",1:NA | 2:NA | 3:NA | 4:NA | 11:NA | ,ranchi,2,India,2 Years,250000,"Marketing, Information Technology, Human Resources",jharkhand,80000
sobhasaria group of institutions sikar,master of business administration,"Others, CMAT, CAT",10:NA|3:NA|1:NA,sikar,2,India,2 Years,250000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources",rajasthan,121000
itm university,master of business administration,"CAT, XAT, MAT, CMAT, GMAT",1:NA|2:NA|4:NA|3:NA|5:NA,raipur,2,India,2 Years,250000,"Finance, Marketing, Human Resources",chattisgarh,445000
anand engineering college,master of business administration,"CAT, MAT, UPSEE",1:NA | 4:NA | 15:NA | ,agra,2,India,2 Years,250000,"Finance, Marketing, Information Technology, Human Resources, International Business",uttar pradesh,92000
indian institute of plantation management,post graduate diploma in agri business management,"CAT, CMAT, MAT, GMAT, ATMA",1:NA | 3:NA | 4:NA | 5:NA | 11:NA | ,bangalore,2,India,2 Years,250000,Agri \/ Food \/ Rural Business,karnataka,350000
girijananda chowdhury institute of management and technology,master of business administration,"CAT, MAT, ATMA, XAT, CMAT",1:NA|4:NA|11:NA|2:NA|3:NA,guwahati,2,India,2 Years,250000,"Finance, Marketing, Human Resources",assam,184000
gd memorial college of management and technology,master of business administration,CAT,1:NA  | ,jodhpur,2,India,2 Years,250000,"Finance, Marketing, Human Resources",rajasthan,110000
dr.virendra swarup institute of computer studies,master of business administration,CAT,1:NA | ,kanpur,2,India,2 Years,250000,"Finance, Marketing, Human Resources",uttar pradesh,136000
maratha mandir's babasaheb gawde institute of management studies,master in management studies,"CAT, XAT, CMAT, MAT, MH-CET, ATMA, JMET",1:NA | 2:NA | 3:NA | 4:NA | 7:NA | 11:NA | 18:NA | ,mumbai,2,India,2 Years,250000,"Finance, Marketing, Human Resources",maharashtra,121000
