institute_name,program_name,tests_accepted,test_cutoff,city_name,program_duration,country_name,program_duration_text,final_placements_domestic_salary_avg,specialization_name,state_name,tution_fees_local_country_student
xavier institute of management,post graduate program in human resource management,"XAT, CAT, GMAT, NMAT",2:92|1:90|5:NA|8:NA,bhubaneshwar,2,India,2 Years,1150000,Human Resources,orissa,1540000
indian institute of management sambalpur,post graduate program in management,CAT,1:94 | ,sambalpur,2,India,2 Years,1133000,Entrepreneurship & Family Business,orissa,1000000
institute of management technology,post graduate diploma in management,"CAT, GMAT, XAT",1:70|5:500|2:70,ghaziabad,2,India,2 Years,1126000,"Finance, Marketing, General Management, International Business",uttar pradesh,1260000
goa institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA   | 2:NA   | 3:NA   | 5:NA   | ,panaji,2,India,2 Years,1122000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management",goa,1698000
goa institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:NA   | 2:NA   | 3:NA   | 5:NA   | ,panaji,2,India,2 Years,1122000,Healthcare \/ Hospital \/ Pharma,goa,1697875
great lakes institute of management,post graduate program in management,"CAT, XAT, CMAT, GMAT",1:NA    | 2:NA    | 3:NA    | 5:NA    | ,gurgaon,1,India,1 Year,1121000,"Finance, Marketing, Operations \/ SCM \/ Production, General Management, Business Analytics, Others",haryana,1435000
indian institute of management jammu,master of business administration,CAT,1:90%   | ,Jammu,2,India,2 Years,1120000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",jammu and kashmir,1380000
sda bocconi asia center,international master in business,"CAT, GMAT, GRE, NMAT",1:90  | 5:640  | 6:314  | 8:201  | ,mumbai,2,India,2 Years,1113000,General Management,maharashtra,1860000
t. a. pai management institute,post graduate diploma in management,"CAT, XAT, GMAT",1:85 | 2:85  | 5:630 | ,manipal,2,India,2 Years,1106000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",karnataka,1400000
iit kanpur department of industrial and management engineering,master of business administration,CAT,1:85       | ,kanpur,2,India,2 Years,1102000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",uttar pradesh,377000
university business school panjab university,master of business administration,CAT,1:88 | ,chandigarh region,2,India,2 Years,1100000,"Finance, Marketing, Human Resources",punjab,169000
sydenham institute of management studies,master in management studies,"CAT, MH-CET",1:NA | 7:99.4 | ,mumbai,2,India,2 Years,1092000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",maharashtra,134000
indian institute of management bodh gaya,post graduate diploma in management,CAT,1:90%   | ,bodh gaya,2,India,2 Years,1090000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics, Sustainability \/ Environment",bihar,1060000
fore school of management,post graduate diploma in management,"CAT, XAT, GMAT",1:85.50           | 2:85.75           | 5:650           | ,new delhi,2,India,2 Years,1080000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, International Business, Media & Communication",delhi,1598000
department of commerce mhrod delhi university,master of business administration (mhrod),CAT,1:90   | ,new delhi,2,India,2 Years,1068000,Human Resources,delhi,31000
iit roorkee department of management studies,master of business administration,CAT,1:90 | ,roorkee,2,India,2 Years,1033000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, General Management, Strategy, Business Analytics",uttarakhand,800000
great lakes institute of management,post graduate diploma in management,"CAT, XAT, CMAT, GMAT",1:90      | 2:90      | 3:NA      | 5:NA      | ,chennai,2,India,2 Years,1014000,"Finance, Marketing, Operations \/ SCM \/ Production, Information Technology, Human Resources, Strategy, Business Analytics, Others",tamil nadu,1176000
