,College Name,GPA,Verbal,Quants,Writing,Cluster
94,Dalhousie University,3.618,158,156.6,3.9,1
95,DePaul University,3.555,157.375,152.625,4.4375,1
96,Delft University Of Science And Technology,2.8,157,144,3.5,4
97,Denver University,4,160,155,5,1
98,Department Of Urban And Regional Planning,3.19,150,157,3,0
99,Des Moines University,3,159,144,5,4
100,Drew University,3.723333333,164,155.3333333,5,2
101,Drexel University,3.50137931,158.5862069,159.5862069,4.034482759,3
102,Duke University,3.651621622,161.3693694,161.8918919,4.387387387,3
103,Duquesne University,3.511428571,160,155.2857143,5.2,1
104,Durham University,3.93,163,156,4.5,2
105,East Carolina University,3.622941176,154.9411765,154.1176471,4.088235294,1
106,East Stroudsburg University,3.852222222,153.8888889,149.4444444,4.277777778,4
107,East Stroudsburg University Of Pennsylvania,3.92,159,149,3.5,1
108,East Tennessee State University,3.636923077,152.0769231,152.2307692,4.384615385,4
109,Eastern Illinois University,3.605636364,152.8181818,150.6363636,4.363636364,4
110,Eastern Kentucky University,3.66125,155.125,149.375,4.25,4
111,"Eastern Ky Universty, Murray State, App State",3.6,156,147,4,4
112,Eastern Michigan University,3.640909091,154.6363636,150.3030303,4.287878788,4
113,Eastern New Mexico University,3.458181818,151.6363636,149.3636364,4.272727273,4
114,Eastern Washington University,3.715833333,158.1666667,153.5,4.333333333,1
115,Edinboro University,3.563076923,152.4615385,148.3846154,4.307692308,4
116,Edinburgh University,3.25,144,152,3,4
117,Eindhoven University Of Technology,3.3,143,163,3.5,0
118,Embry-Riddle Aeronautical University,3.73,168,141,4.5,2
119,Emory University,3.537297297,160.4054054,159.6216216,4.297297297,3
120,Emporia State University,3.65,154,153,4,1
121,Erasmus Mundus,3.5,143,164,3,0
122,Erasmus University Rotterdam,3.23,164,159,3.5,2
123,Fairfield University,3.3,161,150,4.5,1
124,Fairleigh Dickinson University,3.285,148.5,144,4.5,4
125,Fitchburg State University,3.56,152,156,4.5,1
126,Florida Atlantic University,3.628,156.1,153.8,4.3,1
127,Florida Atlantic University (FAU),3.368333333,154.8333333,151.5,4.416666667,1
128,Florida Gulf Coast University,3.27,151.3333333,149.3333333,4.666666667,4
129,Florida International University (FIU),3.48,154.8571429,151.1428571,4.071428571,1
130,Florida State University (FSU),3.66130303,156.7121212,152.2121212,4.378787879,1
131,Fontbonne University,3.832857143,153.1428571,151,4.357142857,4
132,"Ford School, University Of Michigan",3.7,154,146,4,4
133,Fordham University,3.67875,162.125,155.6666667,4.875,2
134,Fort Hays State University,3.634,157,152.2,3.8,1
135,Francis Marion University,3.78,153,146,4.5,4
136,Gallaudet University,3.749090909,157.4545455,152.2727273,4.454545455,1
137,George Mason University (GMU),3.434864865,156.3243243,155.5405405,4.256756757,1
138,George Mason University School Of Public Policy,3.14,170,163,4.5,3
139,George Washington University (GWU),3.600516432,160.5258216,156.6807512,4.441314554,1
140,George Washington University - Trachtenberg,3.1,163,167,5,3
141,George Washington University Trachtenberg (TSPPPA),3.69,155,153,4.5,1
142,Georgetown University,3.628573643,162.7054264,157.5193798,4.689922481,2
143,Georgia Institute Of Technology (GTech),3.9,156,166,4,3
144,Georgia Regents University,3.96,166,160,4.5,2
145,Georgia Southern University,3.46,149,148,3.5,4
146,Georgia State University (GSU),3.648148148,158.4259259,155.1111111,4.537037037,1
147,"Gerald R. Ford School Of Public Policy, The University Of Michigan",3.4,150,166,3.5,0
148,Governors State University,3.774,151.2,150.8,4.3,4
149,Graduate Theological Union,3.34,164,162.5,5,3
150,Grand Valley State University,3.528,152.6666667,149.4666667,4.266666667,4
151,Hampton University,3.615,148.75,145,4.625,4
152,Harding University,3.58,150.5,148,4.5,4
153,Harvard University,3.70703125,161.90625,161.5625,4.6328125,3
154,Hofstra University,3.658214286,154.3214286,150.9285714,4.25,4
155,Hong Kong University (HKU),3.615,160.25,153.75,3.875,1
156,Howard University,3.7025,150,152.25,4.375,4
157,Humboldt State University,3.38,155.25,153.5,3.75,1
158,"Humboldt-Universitt Zu Berlin, School Of Business And Economics",3.87,154,165,4,0
159,Hunter College,3.7,155,154,3.5,1
160,Idaho State University,3.582105263,159.1052632,153.2105263,4.394736842,1
161,Illinois State University,3.6932,153.7714286,151.3428571,4.3,4
162,Indiana State University,3.73,154,149.75,3.75,4
163,Indiana University - Kelley School Of Business,3.86,160,165,4.5,3
164,Indiana University - Purdue University Indianapolis (IUPUI),3.395,159.375,156.875,4.4375,1
165,Indiana University Of Pennsylvania,3.714444444,153.3333333,151,4,4
166,Indiana University SPEA,3.676666667,161.3333333,158.3333333,5,3
167,Indiana University School Of Public And Environmental Affairs,3.4,160,165,4.5,3
168,"Indiana University, Bloomington",3.705259259,159.4148148,156.8666667,4.522222222,1
169,Iowa State University (ISU),3.577916667,154.2916667,162.5416667,3.875,0
170,Izmir University Of Economics,4,160,170,5.5,3
171,Jackson State University,3.035,152.5,150.5,4.125,4
172,Jacksonville University,3.67,155.5,154,4.25,1
173,James Madision University,3.88,167,149,4.5,2
174,James Madison University,3.717916667,157,153.4583333,4.391666667,1
175,John Carroll University,3.2,152,148,4,4
176,Johns Hopkins University (JHU),3.653898305,160.559322,162.3220339,4.149152542,3
177,Johns Hopkins University School Of Advanced International Studies (SAIS),3.72,165,170,4.5,3
178,"Johns Hopkins University, School Of Advanced International Studies, Bologna Center",3.17,158,157,4.5,1
179,KENNESAW STATE UNIVERSITY,3.43,135,146,3,4
180,KFUPM,3.88,144,161,3,0
181,Kamla Raheja Vidyanidhi Institute Of Architecture (KRVIA),4,155,159,3.5,1
182,Kansas State University,3.573333333,156.7777778,157.7777778,4.222222222,1
183,Kansas University,3.825,155,153,4,1
184,Kean University,3.660769231,153.7307692,152.3461538,4.346153846,1
185,Keele University,3.13,154,154,5,1
186,Kennesaw State University,3.426,156,149.6,4.1,1
187,Kent State University,3.797307692,154.8461538,151.3846154,4.173076923,1
188,King Abdullah University Of Science And Technology (KAUST),3.736666667,149.3333333,166.8333333,3.833333333,0
189,LSE/USC,3.64,168,162,5.5,3
190,La Salle University,3.813529412,157,153.2352941,4.411764706,1
191,LaSalle University,3.763333333,154.6666667,151.3333333,4.5,1
192,Lamar University,3.39,150,155.6666667,3.5,0
193,Lehigh University,3.6825,157.6666667,158.6666667,4.125,1
194,Lesley University,3.4,149,149,5,4
195,Liberty University,1.8,140,131,2,4
196,Loma Linda University,3.886666667,156.1666667,149.8333333,4,1
197,London School Of Economics (LSE),3.67,164,152,4.5,2
198,Long Island University,3.45125,152.5,154,4.3125,1
199,"Long Island University, CW Post",3.726,153,147.4,4.5,4
200,Longwood University,3.658947368,153.4736842,151.1052632,4.157894737,4
201,Louisiana State University,3.61826087,159.5652174,154.1304348,4.195652174,1
202,Louisiana Tech University,3.603333333,148,149.3333333,3.666666667,4
203,"Loyala University, Maryland",3.739411765,157.2352941,153.3529412,4.411764706,1
204,Loyola University,3.751666667,157.6666667,149.3333333,4.333333333,1
205,"Loyola University, Chicago",3.571,158.5,154.3,4.6,1
206,Lund University,3.685,158.5,165.5,3.5,3
207,"Lyndon B. Johnson School Of Public Affairs, University Of Texas, Austin",3.17,158,157,4.5,1
